X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,X_68,X_69,X_70,X_71,X_72,X_73,X_74,X_75,X_76,X_77,X_78,X_79,X_80,X_81,X_82,X_83,X_84,X_85,X_86,X_87,X_88,X_89,X_90,X_91,Y,group_type,cost
0,0,1894.0,1.0,102005.0,65.0,0.0,1.0,42.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,-99999.0,-1.0,0.0,0.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,天秤座,羊,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,未知,-9999.0,0.0,10.0,0.0,琼海市,0.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,0.04939084622983207,treatment3,0
2,2,392.0,1.0,102005.0,65.0,0.0,1.0,31.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,3.0,-99999.0,3.0,3.0,3.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.0,0.0,3.0,巨蟹座,马,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,9.92,9.92,4.0,0.0,3.0,0.0,未知,-9999.0,0.0,1.0,0.833333,鹤壁市,0.0,1.0,1.0,0.0,-9999.0,6.0,1.0,0.0,0.08231807704972012,treatment4,0
29,399,883.0,10.0,102006.0,61.0,0.0,0.0,35.0,0.0,21.0,90.0,2.0,0.0,15.0,0.0,1.0,0.0,5.0,0.0,8.0,0.0,4.0,0.0,366.0,0.0,399.0,0.0,0.0,2.0,15.0,1.0,5.0,8.0,4.0,366.0,399.0,0.0,6.0,5.0,326.0,0.0,29.0,-99999.0,-1.0,53.0,89.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,61.0,29.0,0.0,水瓶座,虎,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,71.92,71.92,4.0,0.0,8.0,0.0,未知,-9999.0,0.0,5.0,64.416667,临翔区,0.0,1.0,1.0,0.0,-9999.0,1.0,-9999.0,-9999.0,0.03292723081988805,treatment1,0
2,156,28.0,1.0,102005.0,65.0,0.0,1.0,38.0,1.0,14.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,152.0,0.0,156.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,152.0,156.0,6.0,1.0,3.0,129.0,2.0,2.0,-670.0,-1.0,4.0,4.0,-1.0,-1,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,672.0,0.0,0.0,2.0,天秤座,猪,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,10.54,10.54,4.0,0.0,0.0,0.0,未知,-9999.0,0.0,3.0,2.3483330000000002,彭州市,0.0,1.0,1.0,0.0,5.0,5.0,-9999.0,-9999.0,0.03161014158709252,treatment1,0
6,14,472.0,1.0,102005.0,65.0,0.0,1.0,30.0,0.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,14.0,8.0,0.0,0.0,2.0,2.0,2.0,0.0,8.0,14.0,10.0,0.0,6.0,9.0,0.0,6.0,-99999.0,3.0,6.0,6.0,-1.0,-1,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,10.0,0.0,6.0,处女座,羊,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.5,0.0,14.88,14.88,4.0,0.0,0.0,0.0,未知,-9999.0,0.0,6.0,1.666667,包头市,0.0,1.0,2.0,0.0,-9999.0,5.0,-9999.0,-9999.0,0.03292723081988805,treatment3,0
0,16,24.0,0.0,102005.0,62.0,0.0,0.0,44.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,10.0,0.0,9.0,8.0,0.0,0.0,-700.0,3.0,0.0,2.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,摩羯座,蛇,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,沈阳市,0.0437,0.0,9.0,1.5,沈阳市,0.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,0.04445176160684886,treatment3,0
0,25,734.0,1.0,102006.0,65.0,0.0,0.0,22.0,0.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,10.0,21.0,0.0,0.0,-99999.0,3.0,0.0,0.0,-1.0,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,白羊座,兔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,未知,-9999.0,0.0,10.0,2.166667,衡阳市,0.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,0.08231807704972012,treatment1,0
6,6,453.0,1.0,102006.0,65.0,0.0,0.0,20.0,1.0,0.0,5.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,4.0,4.0,0.0,6.0,-99999.0,3.0,6.0,6.0,-1.0,-1,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,14.0,0.0,6.0,水瓶座,蛇,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,14.88,14.88,4.0,0.0,0.0,0.0,未知,-9999.0,0.0,4.0,2.333333,林口县,0.0,2.0,3.0,0.0,-9999.0,3.0,-9999.0,-9999.0,0.0658544616397761,treatment1,0
17,123,1935.0,1.0,102005.0,65.0,0.0,0.0,37.0,0.0,4.0,70.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,6.0,0.0,3.0,0.0,104.0,0.0,123.0,1.0,0.0,2.0,3.0,5.0,6.0,3.0,104.0,123.0,8.0,2.0,4.0,94.0,0.0,17.0,-704.0,-1.0,28.0,32.0,-1.0,-1,-1.0,0.0,0.0,0.0,2.0,1.0,0.0,-1.0,36.0,0.0,17.0,双鱼座,鼠,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.7,0.0,42.16,42.16,4.0,0.0,0.0,0.0,未知,-9999.0,0.0,3.0,17.0,武威市,0.0,1.0,1.0,0.0,-9999.0,1.0,-9999.0,-9999.0,0.03292723081988805,treatment1,0
6,29,471.0,1.0,102005.0,65.0,0.0,1.0,26.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,22.0,0.0,29.0,10.0,0.0,0.0,1.0,2.0,2.0,2.0,22.0,29.0,10.0,0.0,6.0,22.0,0.0,6.0,-99999.0,3.0,15.0,18.0,-1.0,-1,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,26.46,0.0,6.0,天秤座,猪,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.5,0.0,14.88,14.88,4.0,0.0,0.0,0.0,未知,-9999.0,0.0,6.0,31.126666999999998,呼和浩特市,0.0,1.0,2.0,0.0,-9999.0,4.0,0.0,1.0,0.08067171550872572,treatment4,0
